,is_cold,cpu_info,inst_id,inst_priv_ip,new_id,exist_id,uptime,vm_id,vm_priv_ip,vm_pub_ip,start_time,end_time,elapsed_time,aws_duration,aws_billed_duration,aws_max_mem,io_speed,client_start_time,client_end_time,client_elapsed_time
0,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d8d3ee,169.254.76.1,342e7eac-00d3-4b05-ad99-49a83be0f764,96057284-66e7-4db9-b7e1-3d7db29d8ea8,"3782.07,7559.93",sandbox-root-PEt0Mf,169.254.142.85,169.254.142.85,1591563735681.1792,1591563737530.8254,1849.646240234375,1850.29,1900.0,54.0, 10.9 MB/s,1591563735.6206703,1591563737.5707545,1.9500842094421387
1,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d8d3ee,169.254.76.1,59758ea9-5fb9-4b3f-aaef-1ba31bb425a2,96057284-66e7-4db9-b7e1-3d7db29d8ea8,"4259.97,8514.86",sandbox-root-PEt0Mf,169.254.142.85,169.254.142.85,1591564213588.0623,1591564215413.0525,1824.990234375,1825.69,1900.0,54.0, 11.0 MB/s,1591564213.5161717,1591564215.4522915,1.936119794845581
2,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d8d3ee,169.254.76.1,fc0981a0-a6e9-43e7-acdd-bf6c0f68b470,96057284-66e7-4db9-b7e1-3d7db29d8ea8,"4382.62,8759.83",sandbox-root-PEt0Mf,169.254.142.85,169.254.142.85,1591564336234.0874,1591564338072.7153,1838.6279296875,1839.31,1900.0,54.0, 10.9 MB/s,1591564336.1758273,1591564338.1124897,1.9366624355316162
3,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d8d3ee,169.254.76.1,a5e6b118-dd06-4249-b7a8-908950869726,96057284-66e7-4db9-b7e1-3d7db29d8ea8,"4708.90,9411.84",sandbox-root-PEt0Mf,169.254.142.85,169.254.142.85,1591564662520.0945,1591564664373.7695,1853.675048828125,1854.32,1900.0,54.0, 10.9 MB/s,1591564662.453604,1591564664.4128494,1.9592454433441162
4,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d8d3ee,169.254.76.1,72746df8-bfe5-4b34-ab3e-07df35aa7131,96057284-66e7-4db9-b7e1-3d7db29d8ea8,"4858.06,9709.84",sandbox-root-PEt0Mf,169.254.142.85,169.254.142.85,1591564811679.4807,1591564813513.9443,1834.463623046875,1835.13,1900.0,54.0, 10.9 MB/s,1591564811.620032,1591564813.5525198,1.9324877262115479
5,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d8d3ee,169.254.76.1,a611467c-8f1f-4080-93cc-49c60ef5f810,96057284-66e7-4db9-b7e1-3d7db29d8ea8,"5055.19,10103.69",sandbox-root-PEt0Mf,169.254.142.85,169.254.142.85,1591565008808.6118,1591565010634.798,1826.186279296875,1826.76,1900.0,54.0, 10.9 MB/s,1591565008.7342846,1591565010.6742554,1.9399707317352295
6,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d8d3ee,169.254.76.1,e9805ea9-5d38-4448-b93c-21bde521fec3,96057284-66e7-4db9-b7e1-3d7db29d8ea8,"5202.82,10398.64",sandbox-root-PEt0Mf,169.254.142.85,169.254.142.85,1591565156435.1687,1591565158275.185,1840.016357421875,1840.59,1900.0,54.0, 10.6 MB/s,1591565156.3782184,1591565158.3552353,1.9770169258117676
7,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d8d3ee,169.254.76.1,a58cc156-2a13-41e2-9ce9-e59dd9cac6ba,96057284-66e7-4db9-b7e1-3d7db29d8ea8,"5273.88,10540.55",sandbox-root-PEt0Mf,169.254.142.85,169.254.142.85,1591565227502.9355,1591565229335.9287,1832.9931640625,1833.62,1900.0,54.0, 11.0 MB/s,1591565227.4431183,1591565229.374476,1.9313576221466064
8,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d8d3ee,169.254.76.1,e1984c6b-5d00-4f0e-9a6f-35b141a85c1c,96057284-66e7-4db9-b7e1-3d7db29d8ea8,"5638.76,11269.65",sandbox-root-PEt0Mf,169.254.142.85,169.254.142.85,1591565592378.184,1591565594216.3274,1838.143310546875,1838.74,1900.0,54.0, 10.9 MB/s,1591565592.3104172,1591565594.2563431,1.9459259510040283
9,False,"2,Intel(R) Xeon(R) Processor @ 2.50GHz",sandbox-d8d3ee,169.254.76.1,44992324-542f-44d1-96a4-15a1f5c5e0df,96057284-66e7-4db9-b7e1-3d7db29d8ea8,"5851.23,11694.16",sandbox-root-PEt0Mf,169.254.142.85,169.254.142.85,1591565804848.253,1591565806677.7708,1829.517822265625,1830.2,1900.0,54.0, 11.0 MB/s,1591565804.7837148,1591565806.7407844,1.9570696353912354
